iter	Logloss
0	0.6564392946
1	0.6273186854
2	0.6059430422
3	0.5875428126
4	0.5731655095
5	0.5607568283
6	0.5489370464
7	0.542135259
8	0.5292995487
9	0.5183503289
10	0.5103891441
11	0.5044134779
12	0.5004453656
13	0.4932338486
14	0.4878274027
15	0.484332036
16	0.4824644769
17	0.4774962124
18	0.4736785305
19	0.4707235602
20	0.4698946136
21	0.4661133648
22	0.4640492669
23	0.4630413796
24	0.4609104627
25	0.4570254555
26	0.4557603306
27	0.4524674813
28	0.4510531165
29	0.4497145368
30	0.4487395487
31	0.4476451928
32	0.4464691467
33	0.4454898525
34	0.4445746584
35	0.4419691804
36	0.4410143183
37	0.4401841388
38	0.4374942606
39	0.4366785011
40	0.4349269932
41	0.4325230095
42	0.4315008117
43	0.4300937327
44	0.42918868
45	0.4282943675
46	0.4275449455
47	0.4270518048
48	0.4261922215
49	0.4254329257
50	0.424638074
51	0.423351941
52	0.4213864135
53	0.4207618027
54	0.4203154766
55	0.4185305192
56	0.4177001637
57	0.4169955074
58	0.4166315639
59	0.4157420471
60	0.415241153
61	0.4136221959
62	0.4130724165
63	0.4125015706
64	0.4119732708
65	0.4110755895
66	0.4097124296
67	0.4092469001
68	0.4088155828
69	0.407532646
70	0.4065685799
71	0.4056277496
72	0.4049260895
73	0.4040025699
74	0.4029717589
75	0.4018703463
76	0.4016556991
77	0.4006175372
78	0.4002685954
79	0.3999926221
80	0.3995837335
81	0.3995458549
82	0.3991895749
83	0.399144734
84	0.3989937669
85	0.3987937229
86	0.3985671646
87	0.3985241507
88	0.3984825894
89	0.3980800905
90	0.398046597
91	0.3980074803
92	0.3979762848
93	0.3977832962
94	0.3977456479
95	0.3972230139
96	0.3970198071
97	0.3969907133
98	0.3967995385
99	0.3965972029
