iter	Passed	Remaining
0	60	5949
1	60	2950
2	60	1950
3	60	1451
4	60	1152
5	60	951
6	60	808
7	60	701
8	61	617
9	61	551
10	61	496
11	61	451
12	61	412
13	61	380
14	62	351
15	62	326
16	62	303
17	62	284
18	62	266
19	62	250
20	62	235
21	62	222
22	62	210
23	63	199
24	63	189
25	63	180
26	63	171
27	63	163
28	63	155
29	63	148
30	63	142
31	63	135
32	64	130
33	64	124
34	64	119
35	64	114
36	64	109
37	64	105
38	64	101
39	64	97
40	64	93
41	64	89
42	65	86
43	65	82
44	65	79
45	65	76
46	65	73
47	65	71
48	65	68
49	65	65
50	66	63
51	66	61
52	66	59
53	67	57
54	67	54
55	67	52
56	67	50
57	67	48
58	67	46
59	67	45
60	67	43
61	67	41
62	67	39
63	68	38
64	68	36
65	68	35
66	68	33
67	68	32
68	68	30
69	68	29
70	68	28
71	68	26
72	68	25
73	69	24
74	69	23
75	69	21
76	69	20
77	69	19
78	69	18
79	69	17
80	69	16
81	69	15
82	70	14
83	70	13
84	70	12
85	70	11
86	70	10
87	70	9
88	70	8
89	70	7
90	70	7
91	71	6
92	71	5
93	71	4
94	71	3
95	71	2
96	71	2
97	71	1
98	71	0
99	72	0
